adm0_name,adm1_name,adm2_name,dot_name,year,cbr,pop_total,ri_eff,dpt3,reff_random_effect,sia_random_effect,prop_underwt
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2010,37.8,204873,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2011,37.0,210648,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2012,36.2,216674,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2013,35.4,222448,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2014,34.6,228474,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2015,33.8,234500,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2016,33.3,240023,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2017,32.7,245798,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2018,32.1,251573,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2019,31.6,257347,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2020,31.0,263122,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2021,30.7,268897,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2022,30.4,274671,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2023,30.1,280446,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2024,29.7,286220,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2025,29.4,291995,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2026,29.1,298021,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2027,28.8,304298,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2028,28.4,310323,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2029,28.1,316349,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2030,27.8,322626,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2031,27.4,328651,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2032,27.0,334928,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2033,26.6,341205,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2034,26.3,347482,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2035,25.9,353759,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2036,25.5,359784,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2037,25.1,366061,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2038,24.7,372087,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,ANKA,AFRO:NIGERIA:ZAMFARA:ANKA,2039,24.3,378363,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2010,37.8,145201,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2011,37.0,149294,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2012,36.2,153564,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2013,35.4,157657,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2014,34.6,161928,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2015,33.8,166198,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2016,33.3,170113,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2017,32.7,174206,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2018,32.1,178298,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2019,31.6,182391,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2020,31.0,186484,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2021,30.7,190576,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2022,30.4,194669,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2023,30.1,198762,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2024,29.7,202855,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2025,29.4,206947,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2026,29.1,211218,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2027,28.8,215666,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2028,28.4,219937,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2029,28.1,224208,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2030,27.8,228656,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2031,27.4,232927,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2032,27.0,237375,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2033,26.6,241824,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2034,26.3,246273,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2035,25.9,250721,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2036,25.5,254992,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2037,25.1,259440,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2038,24.7,263711,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BAKURA,AFRO:NIGERIA:ZAMFARA:BAKURA,2039,24.3,268160,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2010,37.8,196760,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2011,37.0,202306,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2012,36.2,208093,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2013,35.4,213639,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2014,34.6,219426,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2015,33.8,225213,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2016,33.3,230518,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2017,32.7,236064,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2018,32.1,241610,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2019,31.6,247156,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2020,31.0,252702,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2021,30.7,258248,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2022,30.4,263794,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2023,30.1,269339,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2024,29.7,274885,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2025,29.4,280431,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2026,29.1,286218,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2027,28.8,292247,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2028,28.4,298034,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2029,28.1,303821,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2030,27.8,309849,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2031,27.4,315636,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2032,27.0,321664,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2033,26.6,327692,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2034,26.3,333721,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2035,25.9,339749,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2036,25.5,345536,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2037,25.1,351564,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2038,24.7,357351,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BIRNIN_MAGAJI_KIYAW,AFRO:NIGERIA:ZAMFARA:BIRNIN_MAGAJI_KIYAW,2039,24.3,363379,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2010,37.8,246305,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2011,37.0,253247,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2012,36.2,260492,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2013,35.4,267434,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2014,34.6,274678,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2015,33.8,281923,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2016,33.3,288563,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2017,32.7,295506,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2018,32.1,302448,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2019,31.6,309391,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2020,31.0,316333,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2021,30.7,323275,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2022,30.4,330218,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2023,30.1,337160,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2024,29.7,344103,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2025,29.4,351045,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2026,29.1,358290,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2027,28.8,365836,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2028,28.4,373080,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2029,28.1,380324,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2030,27.8,387870,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2031,27.4,395115,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2032,27.0,402661,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2033,26.6,410207,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2034,26.3,417753,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2035,25.9,425299,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2036,25.5,432543,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2037,25.1,440090,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2038,24.7,447334,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUKKUYUM,AFRO:NIGERIA:ZAMFARA:BUKKUYUM,2039,24.3,454880,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2010,37.8,400647,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2011,37.0,411939,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2012,36.2,423723,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2013,35.4,435016,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2014,34.6,446799,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2015,33.8,458583,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2016,33.3,469385,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2017,32.7,480678,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2018,32.1,491970,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2019,31.6,503263,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2020,31.0,514556,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2021,30.7,525849,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2022,30.4,537141,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2023,30.1,548434,0.25,0.2,0.0,0.0,0.33
NIGERIA,ZAMFARA,BUNGUDU,AFRO:NIGERIA:ZAMFARA:BUNGUDU,2024,29.7,559727,0.25,0.2,0.0,0.0,0.33
